SMSA	PLINE	PERSON	HERE	PQOTHNR	PQSALNR	PQSELFNR	PQALIM	PQDIV	PQINT	PQOTHER	PQRENT	PQRETIR	PQSAL	PQSELF	PQSS	PQSSI	PQWELF	PQWKCMP	RNTDUE	LODRNT	FOOD	LODSTA	WLINEQ	MOVM	MOVE	TEN	MVG	PHEAR	PSEE	PMEMRY	PWALK	PCARE	PERRND	CITSHP	JITSHP	NATVTY	REL	AGE	SEX	MAR	PAR	GRAD	SPOS	SPAN	JREL	JAGE	JSEX	JMAR	JPAR	JSPAN	JGRAD	JSPOS	FAMNUM	FAMTYP	FAMREL	INUSYR	JATVTY	JNUSYR	JTEN	JMOVE	JMOVM	JMVG	JHERE	JPQSAL	JPQSELF	JPQINT	JPQSS	JPQSSI	JPQWELF	JPQRETIR	JPQALIM	JPQOTHER	JPQSALNR	JPQSLFNR	JPQOTHNR	JPQDIV	JPQRENT	JPQWKCMP	RACE	PVOTHER	JSAL	SAL	JRACE	JPVOTHER	CONTROL
5560	4	4	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	2	2004	 	B	2	2	2	2	2	B	1	 	057	22	5	2	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	 	 	 	 	 	000000000040
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	11	2004	X	B	2	2	2	2	2	2	1	 	057	1	32	2	1	 	44	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	2	1	 	 	000000018883
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	11	2004	X	B	2	2	2	2	2	2	1	 	057	20	37	1	1	 	45	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	2	160000	 	 	000000018883
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	11	2005	X	1	2	2	2	2	2	2	1	 	057	2	20	1	6	 	40	 	2	 	 	 	 	 	 	 	 	0	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	04	0	2	8000	 	 	000000018884
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	11	1994	X	B	2	1	2	2	2	2	1	 	057	1	45	2	1	 	44	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	2	1	 	 	 	2	 	 	 	 	 	 	 	 	 	2	2	 	01	0	2	1	 	 	000000000041
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	11	1994	X	B	2	2	2	2	2	2	1	 	057	20	45	1	1	 	44	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	2	1	 	 	 	2	 	 	 	 	 	 	 	 	 	2	2	 	01	0	2	160000	 	 	000000000041
5560	1	1	B	B	B	B	2	1	1	2	1	2	1	2	2	2	2	2	 	 	B	B	1	6	2003	X	B	2	2	2	2	2	2	1	 	057	2	48	1	4	 	44	 	2	 	 	 	 	 	 	 	 	0	2	0	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	27515	 	262070	 	 	000000018885
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	1	2	2	2	2	 	 	B	B	1	5	2009	X	1	2	2	2	2	2	2	1	 	057	1	31	2	1	 	45	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	02	5000	 	50000	 	 	000000018886
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	5	2009	X	1	2	2	2	2	2	2	1	 	057	20	32	1	1	 	39	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	0	 	55000	 	 	000000018886
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	1	 	 	B	B	1	12	1991	X	B	2	2	2	2	2	2	1	 	057	1	61	1	1	 	40	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	12000	 	62000	 	 	000000000044
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	12	1991	X	B	2	2	2	2	2	2	1	 	057	20	51	2	1	 	40	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	0	4	65000	 	 	000000000044
5560	3	3	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	12	1991	 	B	2	2	2	2	2	2	1	 	057	22	24	2	6	1	40	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	0	2	1	 	 	000000000044
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	3	2008	 	1	2	2	2	2	2	2	1	 	057	20	44	2	1	 	44	2	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	100000	 	 	000000018887
