"","CONTROL","transport_mode","journey_time","journey_distance","gender","income","age","transport_wide","percent_time"
"326",1188,"Works_home",NA,NA,"female",0,58,"Other",NA
"327",1191,"Truck",30,10,"male",120000,49,"Personal_vehicle",2.08333333333333
"328",1193,"Car",10,6,"male",53000,54,"Personal_vehicle",0.694444444444444
"329",1200,"Van",30,30,"female",0,56,"Personal_vehicle",2.08333333333333
"330",1202,"Car",20,9,"male",0,80,"Personal_vehicle",1.38888888888889
"331",1207,"Truck",10,10,"female",1,38,"Personal_vehicle",0.694444444444444
"332",1209,"Truck",2,0,"female",0,72,"Personal_vehicle",0.138888888888889
"333",1211,"Truck",20,26,"female",20000,41,"Personal_vehicle",1.38888888888889
"334",1214,"Car",25,6,"female",48000,56,"Personal_vehicle",1.73611111111111
"335",1218,"Car",5,4,"male",0,18,"Personal_vehicle",0.347222222222222
"336",1220,"Truck",20,5,"male",120000,54,"Personal_vehicle",1.38888888888889
"338",1230,"Car",20,9,"male",58000,54,"Personal_vehicle",1.38888888888889
"339",1237,"Van",35,20,"male",58000,28,"Personal_vehicle",2.43055555555556
"340",1245,"Truck",2,1,"male",0,19,"Personal_vehicle",0.138888888888889
"341",1247,"Truck",60,30,"female",39000,32,"Personal_vehicle",4.16666666666667
"343",1254,"Truck",35,15,"female",30000,62,"Personal_vehicle",2.43055555555556
"344",1274,"Car",60,14,"female",3000,58,"Personal_vehicle",4.16666666666667
"345",1285,"Car",30,8,"male",262070,52,"Personal_vehicle",2.08333333333333
"346",1288,"Car",15,3,"female",25000,84,"Personal_vehicle",1.04166666666667
"347",1290,"Truck",50,30,"male",0,48,"Personal_vehicle",3.47222222222222
"348",1294,"Truck",3,1,"female",25000,56,"Personal_vehicle",0.208333333333333
"349",1296,"Car",45,15,"male",17940,46,"Personal_vehicle",3.125
"350",1305,"Car",15,4,"female",55000,49,"Personal_vehicle",1.04166666666667
"351",1307,"Car",15,10,"male",36000,67,"Personal_vehicle",1.04166666666667
"352",1309,"Car",10,6,"female",45000,40,"Personal_vehicle",0.694444444444444
"354",1325,"Works_home",NA,NA,"female",2000,28,"Other",NA
"355",1328,"Truck",30,20,"male",10000,19,"Personal_vehicle",2.08333333333333
"356",1330,"Car",20,12,"male",0,17,"Personal_vehicle",1.38888888888889
"357",1335,"Car",15,7,"female",58000,56,"Personal_vehicle",1.04166666666667
"361",1345,"Truck",80,56,"male",0,62,"Personal_vehicle",5.55555555555556
"362",1346,"Car",45,32,"female",0,64,"Personal_vehicle",3.125
"363",1355,"Car",5,1,"female",26000,42,"Personal_vehicle",0.347222222222222
"364",1379,"Walked",1,0,"male",40000,61,"Other",0.0694444444444444
"365",1383,"Car",15,5,"male",40000,53,"Personal_vehicle",1.04166666666667
"367",1386,"Car",25,13,"male",15000,28,"Personal_vehicle",1.73611111111111
"368",1391,"Car",20,15,"male",38000,35,"Personal_vehicle",1.38888888888889
"369",1399,"Taxicab",10,2,"female",19400,42,"Public_transit",0.694444444444444
"370",1407,"Taxicab",15,15,"male",0,21,"Public_transit",1.04166666666667
"371",1409,"Truck",30,20,"male",13000,57,"Personal_vehicle",2.08333333333333
"372",1413,"Van",10,10,"female",0,43,"Personal_vehicle",0.694444444444444
"373",1415,"Van",5,0,"male",0,61,"Personal_vehicle",0.347222222222222
"374",1419,"Car",25,15,"female",0,41,"Personal_vehicle",1.73611111111111
"376",1438,"Car",5,1,"female",29500,55,"Personal_vehicle",0.347222222222222
"377",1440,"Truck",30,20,"female",12725,22,"Personal_vehicle",2.08333333333333
"379",1453,"Car",5,3,"female",0,41,"Personal_vehicle",0.347222222222222
"381",1458,"Van",15,4,"male",1000,19,"Personal_vehicle",1.04166666666667
