"","CONTROL","transport_mode","journey_time","journey_distance","gender","income","age","transport_wide","percent_time"
"619",2333,"Car",15,4,"female",30000,55,"Personal_vehicle",1.04166666666667
"620",2335,"Truck",15,6,"male",23000,38,"Personal_vehicle",1.04166666666667
"621",2343,"Car",25,18,"female",25000,48,"Personal_vehicle",1.73611111111111
"624",2359,"Car",25,5,"female",28000,38,"Personal_vehicle",1.73611111111111
"625",2361,"Truck",15,7,"male",31000,42,"Personal_vehicle",1.04166666666667
"626",2364,"Car",5,2,"female",0,22,"Personal_vehicle",0.347222222222222
"627",2365,"Truck",20,18,"female",28000,24,"Personal_vehicle",1.38888888888889
"628",2371,"Truck",10,5,"male",0,83,"Personal_vehicle",0.694444444444444
"629",2375,"Car",25,13,"male",48000,46,"Personal_vehicle",1.73611111111111
"630",2393,"Car",30,23,"male",0,28,"Personal_vehicle",2.08333333333333
"631",2397,"Car",35,15,"male",54000,53,"Personal_vehicle",2.43055555555556
"632",2403,"Truck",35,30,"male",50000,41,"Personal_vehicle",2.43055555555556
"633",2408,"Car",20,10,"male",1000,16,"Personal_vehicle",1.38888888888889
"634",2409,"Truck",25,13,"male",25000,53,"Personal_vehicle",1.73611111111111
"635",2413,"Truck",20,4,"male",0,65,"Personal_vehicle",1.38888888888889
"636",2421,"Truck",10,4,"male",0,44,"Personal_vehicle",0.694444444444444
"637",2424,"Car",15,15,"male",20000,43,"Personal_vehicle",1.04166666666667
"638",2425,"Truck",25,4,"female",0,79,"Personal_vehicle",1.73611111111111
"639",2427,"Truck",45,10,"female",65000,54,"Personal_vehicle",3.125
"640",2431,"Bus_Streetcar",30,10,"female",12000,66,"Public_transit",2.08333333333333
"641",2433,"Bicycle",30,7,"female",9600,47,"Other",2.08333333333333
"643",2437,"Truck",15,20,"female",0,61,"Personal_vehicle",1.04166666666667
"644",2441,"Truck",30,18,"female",12000,18,"Personal_vehicle",2.08333333333333
"645",2445,"Car",20,5,"male",262070,48,"Personal_vehicle",1.38888888888889
"646",2449,"Car",20,5,"male",0,59,"Personal_vehicle",1.38888888888889
"648",2455,"Car",12,3,"female",0,48,"Personal_vehicle",0.833333333333333
"650",2471,"Car",2,2,"female",30000,46,"Personal_vehicle",0.138888888888889
"651",2473,"Car",20,15,"male",61000,37,"Personal_vehicle",1.38888888888889
"652",2479,"Truck",45,20,"female",12600,52,"Personal_vehicle",3.125
"653",2483,"Van",15,5,"female",0,16,"Personal_vehicle",1.04166666666667
"654",2485,"Car",30,23,"female",21000,55,"Personal_vehicle",2.08333333333333
"655",2487,"Car",30,25,"female",47000,43,"Personal_vehicle",2.08333333333333
"656",2492,"Car",6,0,"female",0,51,"Personal_vehicle",0.416666666666667
"657",2494,"Car",40,14,"female",30000,50,"Personal_vehicle",2.77777777777778
"658",2506,"Car",23,8,"male",23000,48,"Personal_vehicle",1.59722222222222
"659",2508,"Car",20,10,"female",2000,20,"Personal_vehicle",1.38888888888889
"660",2512,"Car",15,8,"male",23000,56,"Personal_vehicle",1.04166666666667
"661",2514,"Car",90,70,"female",8000,21,"Personal_vehicle",6.25
"662",2518,"Van",20,7,"male",49158,54,"Personal_vehicle",1.38888888888889
"663",2522,"Car",20,7,"male",12000,48,"Personal_vehicle",1.38888888888889
"664",2524,"Truck",30,20,"male",0,50,"Personal_vehicle",2.08333333333333
"665",2530,"Car",15,6,"male",0,62,"Personal_vehicle",1.04166666666667
"666",2534,"Car",20,10,"male",65000,51,"Personal_vehicle",1.38888888888889
"667",2535,"Car",8,8,"female",45000,64,"Personal_vehicle",0.555555555555556
"669",2542,"Van",30,20,"male",2500,20,"Personal_vehicle",2.08333333333333
"670",2544,"Car",25,12,"female",5000,17,"Personal_vehicle",1.73611111111111
"671",2554,"Truck",10,3,"female",0,70,"Personal_vehicle",0.694444444444444
"672",2556,"Truck",25,10,"female",0,71,"Personal_vehicle",1.73611111111111
"673",2559,"Truck",15,6,"female",42000,38,"Personal_vehicle",1.04166666666667
"674",2561,"Car",1,0,"male",57000,50,"Personal_vehicle",0.0694444444444444
"675",2563,"Truck",20,15,"male",70000,59,"Personal_vehicle",1.38888888888889
"676",2570,"Truck",15,5,"male",30000,36,"Personal_vehicle",1.04166666666667
"677",2572,"Truck",30,6,"female",0,61,"Personal_vehicle",2.08333333333333
"678",2579,"Car",15,15,"male",70000,53,"Personal_vehicle",1.04166666666667
"679",2581,"Truck",40,30,"female",0,29,"Personal_vehicle",2.77777777777778
"680",2586,"Truck",30,20,"female",25000,64,"Personal_vehicle",2.08333333333333
"681",2588,"Car",20,5,"female",0,47,"Personal_vehicle",1.38888888888889
"683",2598,"Car",5,3,"female",18000,52,"Personal_vehicle",0.347222222222222
"684",2604,"Car",30,12,"male",90000,69,"Personal_vehicle",2.08333333333333
"685",2611,"Van",30,17,"male",1000,21,"Personal_vehicle",2.08333333333333
"686",2613,"Truck",25,13,"female",45000,46,"Personal_vehicle",1.73611111111111
"687",2614,"Truck",5,6,"male",38000,49,"Personal_vehicle",0.347222222222222
"688",2616,"Car",10,2,"female",0,17,"Personal_vehicle",0.694444444444444
"689",2622,"Car",15,5,"female",0,57,"Personal_vehicle",1.04166666666667
"690",2627,"Car",25,8,"male",60000,47,"Personal_vehicle",1.73611111111111
"691",2630,"Truck",25,8,"female",110000,55,"Personal_vehicle",1.73611111111111
"692",2632,"Car",10,7,"male",25000,54,"Personal_vehicle",0.694444444444444
"693",2641,"Car",5,3,"male",262070,44,"Personal_vehicle",0.347222222222222
"694",2643,"Car",25,13,"female",75000,54,"Personal_vehicle",1.73611111111111
"695",2648,"Truck",6,1,"female",0,89,"Personal_vehicle",0.416666666666667
"696",2650,"Bus_Streetcar",60,12,"female",0,80,"Public_transit",4.16666666666667
"698",2659,"Car",10,2,"male",9000,20,"Personal_vehicle",0.694444444444444
"699",2666,"Truck",30,18,"female",0,42,"Personal_vehicle",2.08333333333333
"700",2668,"Car",10,5,"female",44485,61,"Personal_vehicle",0.694444444444444
"701",2670,"Car",15,8,"male",80000,58,"Personal_vehicle",1.04166666666667
"702",2673,"Car",20,6,"male",70000,47,"Personal_vehicle",1.38888888888889
"703",2675,"Car",20,5,"male",75000,66,"Personal_vehicle",1.38888888888889
"704",2676,"Truck",45,15,"female",75000,64,"Personal_vehicle",3.125
"705",2682,"Truck",20,5,"female",0,65,"Personal_vehicle",1.38888888888889
"706",2684,"Car",20,15,"female",23000,59,"Personal_vehicle",1.38888888888889
"707",2686,"Car",15,15,"female",35000,62,"Personal_vehicle",1.04166666666667
"708",2689,"Works_home",NA,NA,"female",44000,38,"Other",NA
"709",2691,"Truck",5,3,"male",80000,44,"Personal_vehicle",0.347222222222222
"710",2692,"Truck",40,20,"male",80000,35,"Personal_vehicle",2.77777777777778
"714",2707,"Truck",20,5,"female",8000,63,"Personal_vehicle",1.38888888888889
"715",2710,"Car",10,4,"female",22000,68,"Personal_vehicle",0.694444444444444
"717",2715,"Car",30,6,"female",0,69,"Personal_vehicle",2.08333333333333
"718",2717,"Truck",30,10,"male",75000,52,"Personal_vehicle",2.08333333333333
"719",2719,"Truck",35,14,"male",23000,61,"Personal_vehicle",2.43055555555556
"720",2721,"Car",15,10,"female",45000,60,"Personal_vehicle",1.04166666666667
"721",2723,"Car",10,7,"female",31000,47,"Personal_vehicle",0.694444444444444
"722",2724,"Car",17,12,"male",0,71,"Personal_vehicle",1.18055555555556
"723",2726,"Car",5,6,"female",45000,41,"Personal_vehicle",0.347222222222222
"724",2729,"Car",20,10,"female",0,78,"Personal_vehicle",1.38888888888889
"725",2731,"Truck",20,10,"male",0,16,"Personal_vehicle",1.38888888888889
"726",2733,"Truck",30,9,"male",0,16,"Personal_vehicle",2.08333333333333
"727",2737,"Car",10,3,"female",0,57,"Personal_vehicle",0.694444444444444
"728",2739,"Car",30,12,"male",45316,62,"Personal_vehicle",2.08333333333333
"729",2741,"Car",15,15,"female",54000,57,"Personal_vehicle",1.04166666666667
"730",2745,"Truck",10,3,"male",39000,56,"Personal_vehicle",0.694444444444444
"731",2749,"Truck",20,10,"female",65000,25,"Personal_vehicle",1.38888888888889
"732",2751,"Car",25,6,"male",135000,61,"Personal_vehicle",1.73611111111111
"733",2757,"Truck",60,45,"male",0,53,"Personal_vehicle",4.16666666666667
"734",2759,"Car",25,22,"female",0,19,"Personal_vehicle",1.73611111111111
"735",2761,"Car",45,20,"male",80000,49,"Personal_vehicle",3.125
"736",2763,"Car",10,5,"female",1100,41,"Personal_vehicle",0.694444444444444
"737",2765,"Car",15,10,"female",29000,59,"Personal_vehicle",1.04166666666667
"738",2769,"Car",20,7,"female",55000,27,"Personal_vehicle",1.38888888888889
"741",2776,"Works_home",NA,NA,"male",15000,62,"Other",NA
"742",2780,"Works_home",NA,NA,"female",0,32,"Other",NA
"743",2784,"Car",20,20,"male",0,62,"Personal_vehicle",1.38888888888889
"744",2788,"Car",20,6,"female",45000,61,"Personal_vehicle",1.38888888888889
"745",2790,"Car",20,8,"female",0,62,"Personal_vehicle",1.38888888888889
"746",2792,"Car",20,8,"male",262070,60,"Personal_vehicle",1.38888888888889
"747",2794,"Car",15,7,"female",0,72,"Personal_vehicle",1.04166666666667
"748",2796,"Van",10,3,"female",87000,52,"Personal_vehicle",0.694444444444444
"749",2803,"Car",10,8,"female",0,67,"Personal_vehicle",0.694444444444444
"750",2804,"Car",25,15,"male",3000,20,"Personal_vehicle",1.73611111111111
"751",2808,"Works_home",NA,NA,"male",262070,49,"Other",NA
"752",2812,"Truck",12,4,"female",24000,38,"Personal_vehicle",0.833333333333333
"753",2814,"Works_home",NA,NA,"male",0,67,"Other",NA
"754",2819,"Car",10,6,"male",60000,44,"Personal_vehicle",0.694444444444444
"755",2822,"Car",15,10,"female",0,49,"Personal_vehicle",1.04166666666667
"757",2826,"Car",5,0,"female",10000,72,"Personal_vehicle",0.347222222222222
"758",2830,"Truck",15,12,"male",0,58,"Personal_vehicle",1.04166666666667
"759",2832,"Car",15,15,"male",262070,57,"Personal_vehicle",1.04166666666667
"760",2836,"Car",10,5,"male",0,64,"Personal_vehicle",0.694444444444444
"761",2840,"Car",25,15,"male",0,60,"Personal_vehicle",1.73611111111111
"762",2846,"Works_home",NA,NA,"male",0,80,"Other",NA
"763",2848,"Car",45,40,"male",135000,45,"Personal_vehicle",3.125
"764",2851,"Car",30,25,"female",42000,59,"Personal_vehicle",2.08333333333333
"765",2852,"Works_home",NA,NA,"female",0,62,"Other",NA
"766",2856,"Car",5,4,"female",87000,29,"Personal_vehicle",0.347222222222222
"767",2858,"Car",20,10,"male",75000,37,"Personal_vehicle",1.38888888888889
"768",2860,"Car",16,8,"male",0,18,"Personal_vehicle",1.11111111111111
"769",2863,"Car",5,2,"male",0,72,"Personal_vehicle",0.347222222222222
"770",2865,"Car",20,3,"female",34000,28,"Personal_vehicle",1.38888888888889
"773",2872,"Truck",10,2,"female",3000,17,"Personal_vehicle",0.694444444444444
"774",2881,"Car",15,3,"male",0,49,"Personal_vehicle",1.04166666666667
"775",2883,"Truck",30,6,"male",23000,27,"Personal_vehicle",2.08333333333333
"777",2893,"Car",15,11,"female",0,37,"Personal_vehicle",1.04166666666667
"778",2895,"Truck",20,17,"female",36000,41,"Personal_vehicle",1.38888888888889
"779",2900,"Car",35,12,"female",79980,40,"Personal_vehicle",2.43055555555556
"781",2904,"Truck",20,4,"female",0,21,"Personal_vehicle",1.38888888888889
"782",2911,"Car",30,15,"female",33000,34,"Personal_vehicle",2.08333333333333
"783",2918,"Van",40,20,"female",30000,53,"Personal_vehicle",2.77777777777778
"785",2925,"Car",20,12,"female",3000,19,"Personal_vehicle",1.38888888888889
"786",2927,"Van",20,10,"female",40000,34,"Personal_vehicle",1.38888888888889
"787",2929,"Car",60,40,"male",0,77,"Personal_vehicle",4.16666666666667
"788",2931,"Car",40,13,"male",67000,39,"Personal_vehicle",2.77777777777778
"789",2937,"Truck",10,7,"male",40000,28,"Personal_vehicle",0.694444444444444
"790",2939,"Truck",40,20,"female",0,20,"Personal_vehicle",2.77777777777778
"791",2941,"Car",30,20,"female",16000,37,"Personal_vehicle",2.08333333333333
"792",2943,"Walked",25,2,"male",20000,37,"Other",1.73611111111111
"793",2945,"Truck",30,20,"male",0,44,"Personal_vehicle",2.08333333333333
"794",2947,"Car",25,5,"female",6000,23,"Personal_vehicle",1.73611111111111
"795",2949,"Truck",15,8,"female",0,57,"Personal_vehicle",1.04166666666667
"796",2959,"Car",2,1,"male",0,24,"Personal_vehicle",0.138888888888889
"797",2961,"Car",15,5,"male",11000,66,"Personal_vehicle",1.04166666666667
"798",2963,"Car",20,17,"male",15000,33,"Personal_vehicle",1.38888888888889
"799",2965,"Truck",10,5,"female",62000,65,"Personal_vehicle",0.694444444444444
"800",2967,"Car",15,5,"male",78000,36,"Personal_vehicle",1.04166666666667
"801",2969,"Car",25,13,"male",50000,59,"Personal_vehicle",1.73611111111111
"802",2973,"Car",10,5,"male",20000,27,"Personal_vehicle",0.694444444444444
"803",2979,"Works_home",NA,NA,"female",30000,49,"Other",NA
"805",2983,"Car",35,30,"female",30000,49,"Personal_vehicle",2.43055555555556
"806",2985,"Truck",20,20,"female",0,34,"Personal_vehicle",1.38888888888889
"807",2987,"Car",20,15,"female",3000,42,"Personal_vehicle",1.38888888888889
"808",2991,"Truck",15,7,"male",65000,26,"Personal_vehicle",1.04166666666667
"809",2993,"Car",9,6,"female",55000,39,"Personal_vehicle",0.625
"810",2999,"Truck",15,8,"female",3000,60,"Personal_vehicle",1.04166666666667
"811",3009,"Truck",18,15,"male",60000,50,"Personal_vehicle",1.25
"812",3017,"Walked",2,0,"female",30000,57,"Other",0.138888888888889
"813",3019,"Car",45,30,"female",0,51,"Personal_vehicle",3.125
"814",3023,"Truck",15,10,"female",0,26,"Personal_vehicle",1.04166666666667
"815",3026,"Car",25,20,"female",36000,23,"Personal_vehicle",1.73611111111111
"818",3034,"Truck",45,34,"male",86000,40,"Personal_vehicle",3.125
"819",3039,"Van",30,23,"female",25500,47,"Personal_vehicle",2.08333333333333
"820",3041,"Car",15,5,"female",0,57,"Personal_vehicle",1.04166666666667
"821",3042,"Car",5,1,"female",58000,39,"Personal_vehicle",0.347222222222222
"823",3046,"Car",30,18,"male",0,28,"Personal_vehicle",2.08333333333333
"825",3055,"Van",20,5,"female",0,57,"Personal_vehicle",1.38888888888889
"826",3057,"Truck",45,60,"female",20000,42,"Personal_vehicle",3.125
"827",3058,"Car",10,3,"female",18000,62,"Personal_vehicle",0.694444444444444
"828",3062,"Car",6,3,"male",15000,24,"Personal_vehicle",0.416666666666667
"829",3065,"Car",20,10,"male",45000,43,"Personal_vehicle",1.38888888888889
"830",3067,"Car",15,6,"female",42000,55,"Personal_vehicle",1.04166666666667
"831",3071,"Truck",23,20,"male",0,16,"Personal_vehicle",1.59722222222222
"832",3074,"Truck",15,20,"female",0,79,"Personal_vehicle",1.04166666666667
"833",3078,"Car",10,5,"female",28000,25,"Personal_vehicle",0.694444444444444
"836",3094,"Van",30,15,"male",35000,51,"Personal_vehicle",2.08333333333333
"837",3100,"Works_home",NA,NA,"male",0,18,"Other",NA
"838",3102,"Van",10,2,"female",0,16,"Personal_vehicle",0.694444444444444
"840",3110,"Car",30,15,"female",65000,28,"Personal_vehicle",2.08333333333333
"841",3114,"Car",8,3,"female",45000,53,"Personal_vehicle",0.555555555555556
"842",3122,"Truck",35,35,"male",0,25,"Personal_vehicle",2.43055555555556
"843",3124,"Car",30,11,"female",2000,37,"Personal_vehicle",2.08333333333333
"844",3126,"Car",45,7,"male",30000,31,"Personal_vehicle",3.125
"845",3128,"Car",5,5,"male",0,50,"Personal_vehicle",0.347222222222222
"846",3130,"Car",15,10,"male",0,16,"Personal_vehicle",1.04166666666667
"848",3142,"Truck",30,30,"male",20000,20,"Personal_vehicle",2.08333333333333
"849",3151,"Truck",20,12,"male",40000,39,"Personal_vehicle",1.38888888888889
"850",3154,"Car",30,12,"female",30000,57,"Personal_vehicle",2.08333333333333
"851",3163,"Truck",10,5,"male",27000,28,"Personal_vehicle",0.694444444444444
"852",3167,"Car",10,6,"female",12000,26,"Personal_vehicle",0.694444444444444
"853",3173,"Walked",2,0,"male",25000,60,"Other",0.138888888888889
"854",3175,"Car",15,20,"male",30000,41,"Personal_vehicle",1.04166666666667
"856",3181,"Works_home",NA,NA,"male",0,41,"Other",NA
"857",3187,"Car",2,2,"female",0,20,"Personal_vehicle",0.138888888888889
"858",3189,"Car",40,35,"male",50000,25,"Personal_vehicle",2.77777777777778
"859",3197,"Works_home",NA,NA,"male",0,45,"Other",NA
"860",3207,"Car",15,6,"female",0,33,"Personal_vehicle",1.04166666666667
"861",3219,"Car",30,15,"female",2500,32,"Personal_vehicle",2.08333333333333
"862",3235,"Car",15,10,"female",2000,61,"Personal_vehicle",1.04166666666667
"863",3242,"Car",35,23,"male",16800,28,"Personal_vehicle",2.43055555555556
"865",3247,"Truck",25,25,"female",0,56,"Personal_vehicle",1.73611111111111
"866",3249,"Car",5,5,"female",8000,26,"Personal_vehicle",0.347222222222222
"867",3255,"Car",15,8,"female",0,30,"Personal_vehicle",1.04166666666667
"868",3262,"Truck",15,10,"male",75000,54,"Personal_vehicle",1.04166666666667
"869",3272,"Walked",2,0,"male",0,55,"Other",0.138888888888889
"871",3281,"Truck",30,15,"male",55000,43,"Personal_vehicle",2.08333333333333
"872",3286,"Truck",15,4,"male",40000,31,"Personal_vehicle",1.04166666666667
"873",3290,"Car",15,11,"female",0,62,"Personal_vehicle",1.04166666666667
"874",3302,"Car",20,11,"female",0,73,"Personal_vehicle",1.38888888888889
"875",3304,"Truck",8,4,"female",1800,54,"Personal_vehicle",0.555555555555556
"877",3318,"Truck",10,10,"male",15000,60,"Personal_vehicle",0.694444444444444
"878",3326,"Car",20,11,"male",32000,64,"Personal_vehicle",1.38888888888889
"879",3340,"Car",7,5,"male",28000,52,"Personal_vehicle",0.486111111111111
"880",3342,"Car",10,10,"male",0,54,"Personal_vehicle",0.694444444444444
"881",3343,"Car",15,8,"female",15000,35,"Personal_vehicle",1.04166666666667
"882",3345,"Car",10,5,"female",14000,24,"Personal_vehicle",0.694444444444444
"883",3349,"Car",10,4,"male",22000,37,"Personal_vehicle",0.694444444444444
"884",3352,"Car",22,8,"female",40000,34,"Personal_vehicle",1.52777777777778
"885",3357,"Car",10,1,"male",0,49,"Personal_vehicle",0.694444444444444
"886",3361,"Car",15,10,"male",78000,28,"Personal_vehicle",1.04166666666667
"887",3365,"Car",6,8,"male",2000,39,"Personal_vehicle",0.416666666666667
"888",3370,"Car",15,10,"male",0,54,"Personal_vehicle",1.04166666666667
"889",3372,"Car",20,4,"male",35000,63,"Personal_vehicle",1.38888888888889
"890",3373,"Car",45,50,"male",93600,32,"Personal_vehicle",3.125
"891",3384,"Car",15,7,"female",1500,29,"Personal_vehicle",1.04166666666667
"893",3391,"Car",45,60,"female",8000,20,"Personal_vehicle",3.125
"894",3397,"Car",15,15,"female",56000,66,"Personal_vehicle",1.04166666666667
"895",3400,"Truck",15,5,"female",41000,29,"Personal_vehicle",1.04166666666667
"896",3402,"Car",20,5,"male",25000,60,"Personal_vehicle",1.38888888888889
"897",3403,"Other",20,5,"female",0,32,"Other",1.38888888888889
"898",3405,"Truck",20,5,"male",35000,28,"Personal_vehicle",1.38888888888889
"899",3407,"Car",20,12,"male",15000,33,"Personal_vehicle",1.38888888888889
"900",3411,"Truck",20,15,"male",12000,21,"Personal_vehicle",1.38888888888889
"901",3415,"Car",10,3,"male",40000,26,"Personal_vehicle",0.694444444444444
"902",3419,"Car",10,3,"male",1000,18,"Personal_vehicle",0.694444444444444
"903",3424,"Car",6,5,"female",1500,29,"Personal_vehicle",0.416666666666667
"904",3438,"Truck",5,0,"female",0,45,"Personal_vehicle",0.347222222222222
"906",3449,"Bus_Streetcar",120,20,"female",21000,22,"Public_transit",8.33333333333333
"907",3451,"Car",30,30,"female",10000,22,"Personal_vehicle",2.08333333333333
"908",3454,"Car",10,8,"female",30000,49,"Personal_vehicle",0.694444444444444
"909",3456,"Car",10,8,"male",0,44,"Personal_vehicle",0.694444444444444
"910",3459,"Car",7,1,"female",39000,35,"Personal_vehicle",0.486111111111111
"912",3477,"Car",12,16,"female",1200,40,"Personal_vehicle",0.833333333333333
"913",3479,"Other",15,5,"male",0,19,"Other",1.04166666666667
"914",3484,"Truck",12,4,"female",15000,47,"Personal_vehicle",0.833333333333333
"915",3489,"Car",12,4,"male",78000,47,"Personal_vehicle",0.833333333333333
"917",3493,"Car",13,4,"female",42000,48,"Personal_vehicle",0.902777777777778
"918",3495,"Car",15,12,"female",12000,34,"Personal_vehicle",1.04166666666667
"919",3497,"Car",40,30,"female",2000,30,"Personal_vehicle",2.77777777777778
"920",3502,"Car",40,18,"male",74373,34,"Personal_vehicle",2.77777777777778
"921",3505,"Car",25,15,"female",12000,25,"Personal_vehicle",1.73611111111111
"922",3507,"Truck",15,10,"male",1000,18,"Personal_vehicle",1.04166666666667
"924",3515,"Car",25,5,"female",58000,42,"Personal_vehicle",1.73611111111111
"925",3519,"Car",20,15,"male",12000,34,"Personal_vehicle",1.38888888888889
"926",3525,"Car",20,15,"male",30000,23,"Personal_vehicle",1.38888888888889
"927",3527,"Car",15,10,"female",8000,22,"Personal_vehicle",1.04166666666667
"929",3541,"Car",20,10,"male",40000,17,"Personal_vehicle",1.38888888888889
"930",3547,"Truck",5,0,"female",29000,23,"Personal_vehicle",0.347222222222222
"932",3553,"Truck",30,20,"male",74373,53,"Personal_vehicle",2.08333333333333
"933",3557,"Car",15,20,"female",16000,22,"Personal_vehicle",1.04166666666667
"934",3561,"Truck",5,2,"female",25000,22,"Personal_vehicle",0.347222222222222
"935",3569,"Car",10,3,"female",25000,38,"Personal_vehicle",0.694444444444444
"937",3581,"Car",10,6,"female",8000,32,"Personal_vehicle",0.694444444444444
"938",3586,"Truck",30,13,"male",0,46,"Personal_vehicle",2.08333333333333
"940",3599,"Van",2,2,"female",30000,56,"Personal_vehicle",0.138888888888889
"941",3603,"Other",15,4,"male",200,19,"Other",1.04166666666667
"942",3604,"Car",30,20,"male",2000,45,"Personal_vehicle",2.08333333333333
"943",3609,"Car",15,10,"female",8000,18,"Personal_vehicle",1.04166666666667
"944",3616,"Car",15,7,"male",60000,50,"Personal_vehicle",1.04166666666667
"945",3621,"Truck",15,10,"male",78000,39,"Personal_vehicle",1.04166666666667
"946",3635,"Truck",10,8,"male",48000,37,"Personal_vehicle",0.694444444444444
"947",3638,"Car",15,5,"male",0,24,"Personal_vehicle",1.04166666666667
"948",3640,"Car",20,12,"male",8000,24,"Personal_vehicle",1.38888888888889
"949",3644,"Car",20,9,"male",2000,28,"Personal_vehicle",1.38888888888889
"950",3652,"Truck",15,20,"female",0,71,"Personal_vehicle",1.04166666666667
"951",3653,"Bus_Streetcar",30,9,"female",31000,33,"Public_transit",2.08333333333333
"953",3656,"Car",20,2,"male",44000,24,"Personal_vehicle",1.38888888888889
"955",3662,"Car",5,2,"male",26000,27,"Personal_vehicle",0.347222222222222
"956",3665,"Bus_Streetcar",20,10,"female",10000,58,"Public_transit",1.38888888888889
"957",3667,"Truck",20,8,"male",42000,30,"Personal_vehicle",1.38888888888889
"958",3669,"Car",55,20,"female",1200,28,"Personal_vehicle",3.81944444444444
"959",3672,"Car",40,15,"female",10000,42,"Personal_vehicle",2.77777777777778
"960",3676,"Car",15,10,"female",5700,22,"Personal_vehicle",1.04166666666667
"961",3680,"Car",5,1,"female",10000,64,"Personal_vehicle",0.347222222222222
"962",3682,"Truck",20,15,"female",4000,59,"Personal_vehicle",1.38888888888889
"963",3685,"Bus_Streetcar",60,10,"female",24000,31,"Public_transit",4.16666666666667
"964",3689,"Car",15,6,"female",35000,24,"Personal_vehicle",1.04166666666667
"965",3696,"Car",15,13,"male",35000,36,"Personal_vehicle",1.04166666666667
"966",3706,"Car",10,2,"female",37000,27,"Personal_vehicle",0.694444444444444
"967",3710,"Car",15,20,"male",4000,47,"Personal_vehicle",1.04166666666667
"968",3712,"Car",15,8,"male",30000,56,"Personal_vehicle",1.04166666666667
"969",3718,"Van",25,6,"male",40000,39,"Personal_vehicle",1.73611111111111
"970",3726,"Car",15,12,"male",50000,36,"Personal_vehicle",1.04166666666667
"971",3728,"Truck",15,4,"male",38000,36,"Personal_vehicle",1.04166666666667
"973",3740,"Van",30,21,"male",58000,46,"Personal_vehicle",2.08333333333333
"974",3741,"Truck",4,3,"female",5000,20,"Personal_vehicle",0.277777777777778
"975",3745,"Car",5,1,"female",1,31,"Personal_vehicle",0.347222222222222
"976",3747,"Car",15,4,"female",21000,38,"Personal_vehicle",1.04166666666667
"977",3754,"Car",30,15,"male",25000,22,"Personal_vehicle",2.08333333333333
"978",3759,"Truck",15,6,"male",40000,52,"Personal_vehicle",1.04166666666667
"979",3760,"Car",45,9,"female",11000,20,"Personal_vehicle",3.125
"980",3764,"Truck",15,7,"female",5824,57,"Personal_vehicle",1.04166666666667
"981",3771,"Car",15,9,"male",0,34,"Personal_vehicle",1.04166666666667
"982",3772,"Truck",40,40,"female",14000,47,"Personal_vehicle",2.77777777777778
"983",3779,"Car",5,1,"female",35000,25,"Personal_vehicle",0.347222222222222
"984",3788,"Walked",5,0,"male",20000,53,"Other",0.347222222222222
"986",3795,"Van",45,42,"male",30000,51,"Personal_vehicle",3.125
"987",3798,"Car",25,20,"female",15000,25,"Personal_vehicle",1.73611111111111
"988",3799,"Car",10,4,"male",262070,54,"Personal_vehicle",0.694444444444444
"989",3802,"Car",30,10,"male",42000,33,"Personal_vehicle",2.08333333333333
"990",3803,"Car",25,20,"male",78000,53,"Personal_vehicle",1.73611111111111
"992",3808,"Car",45,25,"male",24145,30,"Personal_vehicle",3.125
"993",3814,"Truck",40,25,"female",0,58,"Personal_vehicle",2.77777777777778
"994",3829,"Truck",15,7,"female",0,89,"Personal_vehicle",1.04166666666667
"996",3834,"Car",40,30,"female",25000,27,"Personal_vehicle",2.77777777777778
"997",3838,"Car",60,50,"male",10000,22,"Personal_vehicle",4.16666666666667
"998",3845,"Car",10,6,"female",1,24,"Personal_vehicle",0.694444444444444
"1000",3857,"Car",30,5,"female",15000,25,"Personal_vehicle",2.08333333333333
"1001",3861,"Truck",20,15,"female",0,55,"Personal_vehicle",1.38888888888889
"1002",3862,"Car",45,35,"female",0,52,"Personal_vehicle",3.125
"1003",3864,"Car",120,121,"male",18000,29,"Personal_vehicle",8.33333333333333
"1004",3868,"Truck",6,1,"male",42000,40,"Personal_vehicle",0.416666666666667
"1005",3873,"Truck",40,33,"male",0,48,"Personal_vehicle",2.77777777777778
"1006",3877,"Works_home",NA,NA,"male",0,47,"Other",NA
"1007",3884,"Works_home",NA,NA,"male",0,63,"Other",NA
"1008",3892,"Car",15,7,"female",10800,63,"Personal_vehicle",1.04166666666667
"1009",3900,"Truck",20,17,"male",40000,75,"Personal_vehicle",1.38888888888889
"1010",3904,"Works_home",NA,NA,"male",0,23,"Other",NA
"1011",3909,"Truck",30,25,"female",60000,35,"Personal_vehicle",2.08333333333333
"1013",3914,"Car",5,5,"male",0,43,"Personal_vehicle",0.347222222222222
"1014",3916,"Car",45,35,"female",36000,41,"Personal_vehicle",3.125
"1015",3917,"Car",5,3,"female",30000,50,"Personal_vehicle",0.347222222222222
"1019",3930,"Car",45,35,"male",0,82,"Personal_vehicle",3.125
"1020",3933,"Car",15,5,"female",15000,60,"Personal_vehicle",1.04166666666667
"1021",3934,"Car",45,30,"male",75000,51,"Personal_vehicle",3.125
"1022",3939,"Car",15,7,"female",7600,22,"Personal_vehicle",1.04166666666667
"1023",3942,"Car",15,12,"male",12000,37,"Personal_vehicle",1.04166666666667
"1024",3944,"Car",25,25,"female",44000,41,"Personal_vehicle",1.73611111111111
