SMSA	PERSON	PASS	TRAN	TIMEJ	DISTJ	WHHRW	WHHRB	AMPM	HJOB	VEHCL	WHDY	WHOME	WTIME	JTRAN	JVEHCL	JPASS	JTIMEJ	JDISTJ	JWTIME	JWHHRW	JWHHRB	JWHDY	CONTROL
5560	2	 	1	25	13	 	0	1	1	1	B	2	0600	 	 	 	 	 	 	 	 	 	000000002969
5560	1	 	1	10	5	 	0	2	1	1	B	2	R	 	 	 	 	 	 	 	 	 	000000002973
5560	4	 	1	10	5	 	0	R	1	1	B	2	R	 	 	 	 	 	 	 	 	 	000000002973
5560	1	 	12	996	996	40	0	B	1	B	5	1	B	 	 	 	1	1	 	 	 	 	000000002979
5560	1	3	1	45	40	1	0	1	1	2	0	1	0530	 	 	 	 	 	 	 	 	 	000000002981
5560	7	 	1	5	3	 	15	1	1	1	B	2	0900	 	 	 	 	 	 	 	 	 	000000002981
5560	1	 	1	35	30	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000002983
5560	2	 	2	20	20	 	40	1	2	1	B	2	0730	 	 	 	 	 	 	 	 	 	000000002985
5560	1	 	1	20	15	 	0	1	1	1	B	2	0730	 	 	 	 	 	 	 	 	 	000000002987
5560	1	 	2	15	7	 	0	1	1	1	B	2	0515	 	 	 	 	 	 	 	 	 	000000002991
5560	2	 	1	9	6	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000002993
5560	1	 	2	15	8	 	0	2	1	1	B	2	D	 	 	 	 	 	 	 	 	 	000000002999
5560	1	 	2	18	15	 	0	1	1	1	B	2	0530	 	 	 	 	 	 	 	 	 	000000003009
5560	1	 	11	2	0	 	0	1	1	B	B	2	0813	 	 	 	 	 	 	 	 	 	000000003017
5560	1	 	1	45	30	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000003019
5560	2	 	2	15	10	 	0	1	2	1	B	2	0700	 	 	 	2	2	 	 	 	 	000000003023
5560	1	 	1	25	20	10	0	1	1	1	0	1	0600	 	 	 	 	 	 	 	 	 	000000003026
5560	2	 	1	50	45	5	0	1	1	1	0	1	0630	 	 	 	 	 	 	 	 	 	000000003026
5560	1	 	2	2	0	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000003028
5560	2	3	2	2	0	 	0	2	1	2	B	2	0400	 	 	 	 	 	 	 	 	 	000000003028
5560	1	 	1	20	15	8	0	1	1	1	5	1	0630	 	 	 	 	 	 	 	 	 	000000003030
5560	1	3	2	45	34	 	0	1	2	2	B	2	D	 	 	 	2	2	 	 	 	 	000000003034
5560	1	 	3	30	23	 	2	1	1	1	B	2	0730	 	 	 	 	2	 	 	 	 	000000003039
5560	2	 	1	15	5	 	0	1	1	1	B	2	1000	 	 	 	 	 	 	 	 	 	000000003041
5560	1	 	1	5	1	 	0	1	1	1	B	2	0830	 	 	 	 	 	 	 	 	 	000000003042
5560	1	 	1	15	13	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000003044
5560	3	 	1	10	3	 	0	2	1	1	B	2	0101	 	 	 	 	 	 	 	 	 	000000003044
5560	1	 	1	30	18	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000003046
5560	2	 	1	25	4	 	0	1	1	1	B	2	0715	 	 	 	 	 	 	 	 	 	000000003053
5560	1	 	3	20	5	 	0	1	1	1	B	2	0730	 	 	 	 	 	 	 	 	 	000000003055
5560	1	 	2	45	60	 	0	1	1	1	B	2	0530	 	 	 	 	 	 	 	 	 	000000003057
5560	2	 	1	15	4	 	0	1	1	1	B	2	0830	 	 	 	 	 	 	 	 	 	000000003057
5560	1	 	1	10	3	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000003058
5560	1	 	1	6	3	 	0	1	1	1	B	2	1000	 	 	 	 	 	 	 	 	 	000000003062
5560	2	 	1	10	6	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000003062
5560	1	 	1	20	10	 	0	1	1	1	B	2	0830	 	 	 	 	 	 	 	 	 	000000003065
5560	1	 	1	15	6	 	0	1	1	1	B	2	0820	 	 	 	 	 	 	 	 	 	000000003067
